DOI,Year,Taxa,Continent,Experimental approach,Analysis approach,Adaptation means,Sample size,Fitness measurement,Association to host,Functional response,Molecular technique,Compositional variability resolution,Data availability,Conclusiveness
10.1111/mec.15184,2019,Actinopterygii,South America,0.25,0.5,0,0.66,0,0.5,0,0.33,0.5,0.25,3
10.1002/mbo3.1004,2020,Amphibia,Asia,0.25,0.5,0,0.66,0,0.5,0.4,0.33,0.75,0.75,3
10.3389/fmicb.2019.03156,2020,Mammalia,Asia,0.25,0.5,1,0.33,0,0.5,0.8,0.33,0.75,0.5,4
10.1111/eva.12658,2018,Actinopterygii,North America,0.25,0.5,0,0.33,0,0.5,0,0.33,0.75,0.5,3
10.1002/ajp.22896,2018,Mammalia,North America,0.25,0.5,1,0.33,0,1,0.4,0.33,1,0.75,3
10.1038/s41598-022-08797-7,2022,Mammalia,South America,0.25,0.5,0,0.66,0,0.5,0.4,0.33,0.75,0.75,4
10.3389/fmicb.2022.1033050,2022,Mammalia,Asia,0.25,0.5,1,0.33,0,0.5,0.4,0.33,0.75,0.75,4
10.3389/fmicb.2022.949002,2022,Mammalia,Asia,0.25,0.5,1,0.33,0,0.5,0.8,1,1,0.75,4
10.3389/fmicb.2022.823254,2022,Actinopterygii,Asia,0.5,1,1,1,0,0.5,0.4,0.33,0.75,0.75,4
10.1111/mec.16663,2022,Mammalia,Africa,0.25,0.5,1,0.66,0,0.5,0,0.33,0.75,0.75,3
10.1186/s12917-021-03092-5,2021,Actinopterygii,Asia,0.25,0.5,0,0.33,0,0.5,0.4,0.33,0.75,0.5,3
10.1128/mSphere.00467-21,2021,Mammalia,Asia,0.25,0.5,1,0.66,0,0.5,0.4,0.33,1,0.75,4
10.1038/s41598-022-10734-7,2022,Aves,Europe,0.25,0.5,0,0.66,0,0.5,0,0.33,0.75,0.25,2
10.3389/fmicb.2022.941261,2022,Mammalia,Asia,0.25,0.5,0,0.66,0,0.5,0.4,0.33,1,0.75,3
10.1186/s12917-022-03223-6,2022,Mammalia,Asia,0.25,0.5,0,0.66,0,0.5,0.4,0.33,1,0.75,4
10.1186/s13213-022-01669-5,2022,Mammalia,Asia,0.25,0.5,1,0.33,0,0.5,0.4,0.33,0.75,0,4
10.1186/s40168-022-01233-y,2022,Aves,Africa,0.25,0.5,0,1,0,0.5,0,1,0.5,0.25,0
10.1038/s41598-022-06359-5,2022,Mammalia,North America,0.25,0.5,1,0.66,0.5,0.5,0,1,0.25,0.75,3
10.3390/genes10100827,2019,Mammalia,Asia,0.25,0.5,0,1,0,0.5,0.8,0.66,0.75,0.75,3
10.3389/fmicb.2020.01665,2020,Mammalia,Asia,0.25,0.5,0,0.66,0,0.5,0.8,0.66,0.75,0.75,3
10.1128/AEM.02283-19,2020,Actinopterygii,"Europe, North America, Europe",0.25,0.5,0,1,0,0.5,0.4,0.33,0.75,0.75,2
10.3389/fmicb.2021.748323,2021,Mammalia,North America,0.25,0.5,0,0.66,0,0.5,0,0.33,0.5,0.25,2
10.1111/mec.15709,2021,Actinopterygii,"Africa, Africa",0.5,1,1,0.66,0,0.5,0,1,0.5,0.75,4
10.1111/mec.15240,2019,Reptilia,Oceania,0.25,0.5,0,0.66,0,0.5,0,0.33,0.5,0.5,3
10.1111/eva.12743,2019,Mammalia,Asia,0.25,0.5,0,1,0,0.5,0.4,0.33,0.75,0.5,3
10.1186/s12917-020-02583-1,2020,Mammalia,Asia,0.25,0.5,0,0,0,0.5,0.4,1,0.25,0,3
10.3390/ani13050923,2023,Aves,Asia,0.25,0.5,0,0.66,0,0.5,0.4,0.33,0.75,0.75,3
10.1038/s42003-021-02315-7,2021,Mammalia,North America,0.25,0.5,1,1,0,0.5,0.4,0.33,0.75,0.25,3
